Referenced in,Movie
Lailat Hana wa Suroor (2018),The Incredible Hulk (2008)
Iron Man 2 (2010),The Avengers (2012)
RiffTrax: The Hunger Games (2012),The Avengers (2012)
Iron Man Three (2013),The Avengers (2012)
Thor: The Dark World (2013),The Avengers (2012)
Ride Along (2014),The Avengers (2012)
A Lego Brickumentary (2014),The Avengers (2012)
Turtle Power: The Definitive History of the Teenage Mutant Ninja Turtles (2014),The Avengers (2012)
Guardians of the Galaxy (2014),The Avengers (2012)
Birdman or (The Unexpected Virtue of Ignorance) (2014),The Avengers (2012)
Penguins of Madagascar (2014),The Avengers (2012)
Atari: Game Over (2014),The Avengers (2012)
The SpongeBob Movie: Sponge Out of Water (2015),The Avengers (2012)
Doomed: The Untold Story of Roger Corman's the Fantastic Four (2015),The Avengers (2012)
I Am Your Father (2015),The Avengers (2012)
Deadpool (2016),The Avengers (2012)
Our Lovers (2016),The Avengers (2012)
COMIX: Beyond the Comic Book Pages (2016),The Avengers (2012)
Happy Birthday (2016),The Avengers (2012)
Doctor Strange (2016),The Avengers (2012)
xXx: Return of Xander Cage (2017),The Avengers (2012)
Spider-Man: Homecoming (2017),The Avengers (2012)
Game Night (2018),The Avengers (2012)
Avengers: Infinity War (2018),The Avengers (2012)
Deadpool 2 (2018),The Avengers (2012)
Lo que siento por ti (2018),The Avengers (2012)
Captain Marvel (2019),The Avengers (2012)
"Avengers: Endgame (2019)

",The Avengers (2012)
Ant-Man (2015),Avengers: Age of Ultron (2015)
Captain America: Civil War (2016),Avengers: Age of Ultron (2015)
Spider-Man: Homecoming (2017),Avengers: Age of Ultron (2015)
Thor: Ragnarok (2017),Avengers: Age of Ultron (2015)
Black Panther (2018),Avengers: Age of Ultron (2015)
Deadpool 2 (2018),Avengers: Age of Ultron (2015)
"Avengers: Endgame (2019)

",Avengers: Age of Ultron (2015)
Spaghettiman (2016),Avengers: Infinity War (2018)
Thor: Ragnarok (2017),Avengers: Infinity War (2018)
Deadpool 2 (2018),Avengers: Infinity War (2018)
Ant-Man and the Wasp (2018),Avengers: Infinity War (2018)
The Lego Movie 2: The Second Part (2019),Avengers: Infinity War (2018)
Spider-Man: Far from Home (2019),Avengers: Infinity War (2018)
Captain Marvel (2019),Avengers: Endgame (2019)
Spider-Man: Far from Home (2019),Avengers: Endgame (2019)
Microsoft Paint: The Movie (2019),Avengers: Endgame (2019)
Thor: The Dark World (2013),Thor(2011)
Captain America: The First Avenger (2011),Thor(2011)
Comic-Con Episode IV: A Fan's Hope (2011),Thor(2011)
Grave Encounters 2 (2012),Thor(2011)
Titanic Review (2012),Thor(2011)
Iron Man Three (2013),Thor(2011)
The Lego Movie (2014),Thor(2011)
Z-Listers (2014),Thor(2011)
I Spit on Your Grave 3: Vengeance Is Mine (2015),Thor(2011)
Quarter Bin (2015),Thor(2011)
Ghostbusters (2016),Thor(2011)
Ralph Breaks the Internet (2018),Thor(2011)
Men in Black: International (2019),Thor(2011)
Guardians of the Galaxy (2014),Thor: The Dark World (2013)
"Avengers: Age of Ultron (2015)

",Thor: The Dark World (2013)
Avengers: Infinity War (2018),Thor: The Dark World (2013)
"Avengers: Endgame (2019)

",Thor: The Dark World (2013)
Guardians of the Galaxy Vol. 2 (2017),Thor: Ragnarok (2017）
Avengers: Infinity War (2018),Thor: Ragnarok (2017）
Iron Man 2 (2010),Black Panther (2018)
"Avengers: Age of Ultron (2015)

",Black Panther (2018)
Avengers: Infinity War (2018),Black Panther (2018)
Deadpool 2 (2018),Black Panther (2018)
What Men Want (2019),Black Panther (2018)
Long Shot (2019),Black Panther (2018)
Sextuplets (2019),Black Panther (2018)
Avengers: Infinity War (2018),Captain Marvel (2019)
"Avengers: Endgame (2019)

",Captain Marvel (2019)
Spider-Man: Far from Home (2019),Captain Marvel (2019)
The Angry Birds Movie 2 (2019),Captain Marvel (2019)
"Iron Man (2008)

",Captain America: The First Avenger (2011)
The Incredible Hulk (2008),Captain America: The First Avenger (2011)
Iron Man 2 (2010),Captain America: The First Avenger (2011)
Thor (2011),Captain America: The First Avenger (2011)
Comic-Con Episode IV: A Fan's Hope (2011),Captain America: The First Avenger (2011)
Grave Encounters 2 (2012),Captain America: The First Avenger (2011)
"The Starving Games (2013)

",Captain America: The First Avenger (2011)
"Grudge Match (2013)

",Captain America: The First Avenger (2011)
"Night Terrors (2014)

",Captain America: The First Avenger (2011)
"Avengers: Age of Ultron (2015)

",Captain America: The First Avenger (2011)
Ted 2 (2015),Captain America: The First Avenger (2011)
"Hollywood Adventures (2015)

",Captain America: The First Avenger (2011)
"13 Hours (2016)

",Captain America: The First Avenger (2011)
"The Dwarvenaut (2016)

",Captain America: The First Avenger (2011)
COMIX: Beyond the Comic Book Pages (2016),Captain America: The First Avenger (2011)
"Saturday Night Live: Chris Pine/LCD Soundsystem (2017)

",Captain America: The First Avenger (2011)
"Meat and Potato Man (2017)

",Captain America: The First Avenger (2011)
"Honest Trailers: The Incredible Hulk (2018)

",Captain America: The First Avenger (2011)
"Capernaum (2018)

",Captain America: The First Avenger (2011)
Ralph Breaks the Internet (2018),Captain America: The First Avenger (2011)
"Everything Wrong with...: Everything Wrong with Avengers: Infinity War (2018)

",Captain America: The First Avenger (2011)
"Avengers: Endgame (2019)

",Captain America: The First Avenger (2011)
"Die schlechtesten Filme aller Zeiten: Captain America (2019)

",Captain America: The First Avenger (2011)
Cooties (2014),Captain America: The Winter Soldier (2014)
"Avengers: Age of Ultron (2015)

",Captain America: The Winter Soldier (2014)
Ant-Man (2015),Captain America: The Winter Soldier (2014)
"Ready Player One (2018)

",Captain America: The Winter Soldier (2014)
Deadpool 2 (2018),Captain America: The Winter Soldier (2014)
Doctor Strange (2016),Captain America: Civil War(2016)
Guardians of the Galaxy Vol. 2 (2017),Captain America: Civil War(2016)
Rifftrax: Batman v. Superman (2017),Captain America: Civil War(2016)
Black Panther (2018),Captain America: Civil War(2016)
"The Adventures of the Fatbat Episode III: Queen of the City, Part I: The Fall of Gotham (2018)

",Captain America: Civil War(2016)
Avengers: Infinity War (2018),Captain America: Civil War(2016)
Ant-Man and the Wasp (2018),Captain America: Civil War(2016)
"Action (2019)

",Captain America: Civil War(2016)
Thor: The Dark World (2013),Guardians of the Galaxy (2014)
"Luzhayka (2015)

",Guardians of the Galaxy (2014)
"Offline: Are You Ready for the Next Level? (2016)

",Guardians of the Galaxy (2014)
"Yoga Hosers (2016)

",Guardians of the Galaxy (2014)
"The Dwarvenaut (2016)

",Guardians of the Galaxy (2014)
"Flash of Light: Flash Forever (2016)

",Guardians of the Galaxy (2014)
"Despicable Me 3 (2017)

",Guardians of the Galaxy (2014)
"Life After Flash (2017)

",Guardians of the Galaxy (2014)
Deadpool 2 (2018),Guardians of the Galaxy (2014)
"Teen Titans GO! to the Movies (2018)

",Guardians of the Galaxy (2014)
Ralph Breaks the Internet (2018),Guardians of the Galaxy (2014)
Captain Marvel (2019),Guardians of the Galaxy (2014)
"Avengers: Endgame (2019)

",Guardians of the Galaxy (2014)
Avengers: Infinity War (2018),Guardians of the Galaxy Vol. 2 (2017)
Captain America: Civil War (2016),Ant-Man (2015)
Central Intelligence (2016),Ant-Man (2015)
Avengers: Infinity War (2018),Ant-Man (2015)
Ant-Man and the Wasp (2018),Ant-Man (2015)
Mister America (2019),Ant-Man (2015)
Iron Man 2 (2010),Ant-Man and the Wasp (2018)
Captain America: The Winter Soldier (2014),Doctor Strange (2016)
Thor: Ragnarok (2017),Doctor Strange (2016)
Avengers: Infinity War (2018),Doctor Strange (2016)
Iron Man 2 (2010),Spider-Man: Homecoming (2017)
Ant-Man (2015),Spider-Man: Homecoming (2017)
Sherlock Gnomes (2018),Spider-Man: Homecoming (2017)
Avengers: Infinity War (2018),Spider-Man: Homecoming (2017)
Ranam (2018),Spider-Man: Homecoming (2017)
